event_id,object_a,object_b,miss_km,coarse_miss_km,rel_speed_kms,alt_km,closing_geom,risk_score,high_risk
182,STARLINK-31080,STARLINK-36670,2.2511,5.748,7.888,492.3,3.2181,56.8,1
183,STARLINK-36090,STARLINK-36505,2.8236,7.136,9.71,491.3,3.2114,56.8,0
184,STARLINK-35848,STARLINK-37529,3.8134,3.865,12.886,468.3,3.2107,56.8,0
185,STARLINK-2214,STARLINK-37243,4.3059,4.306,14.454,480.8,3.2078,56.7,0
186,2025-197C,STARLINK-35663,4.0035,4.176,13.457,494.2,3.2014,56.7,0
187,STARLINK-30247,STARLINK-31511,1.3682,1.464,5.015,484.6,3.1979,56.6,1
188,STARLINK-3162,STARLINK-36680,3.5202,3.576,11.894,468.7,3.1971,56.6,0
189,STARLINK-30931,STARLINK-32592,2.8372,2.876,9.704,487.5,3.195,56.6,0
190,STARLINK-30897,STARLINK-32958,2.1925,5.234,7.644,491.8,3.195,56.6,1
191,STARLINK-30757,STARLINK-32819,0.2009,3.869,1.279,484.4,3.1903,56.6,0
192,STARLINK-5468,STARLINK-36470,2.8661,2.88,9.777,490.7,3.1887,56.6,0
193,STARLINK-30324,STARLINK-34152,2.2044,2.301,7.666,485.8,3.1883,56.6,1
194,STARLINK-4729,STARLINK-34257,3.2502,3.444,10.987,463.7,3.1845,56.5,0
195,STARLINK-30767,STARLINK-35930,1.7483,6.352,6.202,485.4,3.1833,56.5,1
196,STARLINK-6082,STARLINK-32937,2.9267,6.848,9.941,488.0,3.1794,56.5,0
197,STARLINK-30367,STARLINK-36957,2.9324,8.747,9.929,491.1,3.1698,56.4,0
198,STARLINK-6116,STARLINK-30429,2.9331,2.949,9.926,487.9,3.1681,56.4,0
199,STARLINK-6128,STARLINK-32502,2.9431,8.902,9.93,487.8,3.1593,56.3,0
200,STARLINK-5870,STARLINK-31974,2.2338,8.802,7.672,485.9,3.1523,56.2,1
201,STARLINK-37042,STARLINK-37146,1.24,1.24,4.537,474.9,3.1507,56.2,0
202,STARLINK-31164,STARLINK-32557,2.2205,5.527,7.601,486.1,3.1403,56.1,1
203,ORBASTRO-TR5,PIAST-S1,4.6177,4.686,15.093,512.3,3.1328,56.0,0
204,STARLINK-3943,STARLINK-5450,2.8413,9.445,9.507,473.2,3.126,56.0,0
205,STARLINK-4067,STARLINK-37252,4.5267,4.884,14.755,477.7,3.1216,55.9,0
206,STARLINK-6331,STARLINK-32746,2.2529,2.51,7.656,485.7,3.1212,55.9,1
207,STARLINK-4046,STARLINK-30848,2.3488,9.354,7.951,494.0,3.1195,55.9,1
208,STARLINK-30043,STARLINK-35992,2.2557,2.552,7.655,486.0,3.1172,55.9,1
209,STARLINK-3749,STARLINK-32043,3.5895,9.343,11.804,468.8,3.1149,55.9,0
210,STARLINK-5822,STARLINK-36140,1.7734,4.916,6.126,485.1,3.1043,55.8,1
211,STARLINK-5738,STARLINK-35438,3.0821,3.301,10.186,488.2,3.1035,55.8,0
212,STARLINK-3740,STARLINK-37212,3.3172,3.38,10.916,472.6,3.1036,55.8,0
213,JILIN-1 GAOFEN 03D43,STARLINK-38006,2.44,2.476,8.184,340.2,3.1,55.7,1
214,STARLINK-31723,STARLINK-32755,2.3402,8.022,7.874,492.3,3.0998,55.7,1
215,STARLINK-5946,STARLINK-36430,2.2678,2.292,7.648,485.6,3.0991,55.7,1
216,STARLINK-30320,STARLINK-35026,2.2776,8.334,7.673,475.1,3.0969,55.7,1
217,STARLINK-4600,STARLINK-34134,3.2351,7.919,10.632,487.5,3.0951,55.7,0
218,STARLINK-5686,2024-203C,2.377,6.75,7.96,492.9,3.0889,55.6,1
219,STARLINK-31888,STARLINK-36657,1.4365,5.452,5.05,492.6,3.0859,55.6,1
220,STARLINK-31226,STARLINK-35814,2.3483,2.586,7.861,485.8,3.0848,55.6,1
221,STARLINK-5095,STARLINK-35598,2.267,7.309,7.609,485.9,3.0843,55.6,1
222,GEOSCAN 2 (RS92S2),STARLINK-34879,2.3796,2.733,7.916,476.1,3.0687,55.4,1
223,STARLINK-4162,STARLINK-34814,3.7949,9.273,12.22,469.1,3.0589,55.3,0
224,AEROCUBE 6A,TRANSPORTER-17 OBJECT AW,3.3753,7.043,10.915,592.2,3.0529,55.3,0
225,STARLINK-31733,STARLINK-34254,2.3733,7.472,7.855,492.2,3.0525,55.3,1
226,STARLINK-31676,STARLINK-33840,2.3025,9.448,7.636,485.9,3.0513,55.2,1
227,STARLINK-4536,PRSC-S1,1.4372,9.966,4.991,551.6,3.0485,55.2,0
228,STARLINK-4081,STARLINK-37316,4.4568,4.713,14.147,470.0,3.0379,55.1,0
229,QIANFAN-30,QIANFAN-128,2.9019,8.916,9.42,1065.7,3.0368,55.1,0
230,STARLINK-30404,2024-205M,2.5784,8.364,8.432,474.8,3.0348,55.1,0
231,STARLINK-4196,STARLINK-36603,4.6536,4.78,14.724,477.4,3.0336,55.1,0
232,STARLINK-1543,STARLINK-37242,3.6887,3.911,11.787,468.4,3.0311,55.0,0
233,STARLINK-3261,STARLINK-36850,4.4856,4.487,14.203,481.8,3.0312,55.0,0
234,STARLINK-33642,STARLINK-35322,0.9658,4.07,3.532,484.4,3.0297,55.0,0
235,STARLINK-3818,STARLINK-37890,3.7783,3.798,12.025,471.0,3.0226,55.0,0
236,STARLINK-5741,STARLINK-36081,0.9689,4.146,3.532,484.3,3.0216,54.9,0
237,VIZARD-METEO (RS38S),STARLINK-34302,3.1492,8.874,10.11,460.6,3.0186,54.9,0
238,STARLINK-5352,STARLINK-33847,3.125,7.116,10.027,488.6,3.0156,54.9,0
239,MULE 4T,KUIPER-00558,4.6712,4.71,14.681,504.8,3.0138,54.9,0
240,STARLINK-30857,VSP RF C1,3.5956,8.847,11.436,493.4,3.013,54.9,0
241,STARLINK-32698,STARLINK-36798,4.547,4.615,14.269,465.9,3.0059,54.8,0
242,STARLINK-5969,STARLINK-35969,3.0708,9.213,9.829,488.3,3.0051,54.8,0
243,STARLINK-31877,STARLINK-32408,3.1091,8.073,9.943,487.6,3.0047,54.8,0
244,STARLINK-5876,ORIGAMISAT-2,4.6493,4.725,14.558,546.1,3.0021,54.8,0
245,STARLINK-34248,STARLINK-35967,3.7577,3.758,11.854,472.6,2.9952,54.7,0
246,STARLINK-30425,STARLINK-37241,3.7931,8.47,11.958,468.0,2.9947,54.7,0
247,NESS,STARLINK-37529,3.8988,3.917,12.262,465.5,2.9916,54.7,0
248,STARLINK-3180,STARLINK-37510,2.9455,2.954,9.391,462.3,2.9855,54.6,0
249,STARLINK-33579,STARLINK-37745,4.5963,4.958,14.289,470.5,2.9792,54.5,0
250,STARLINK-2574,STARLINK-37736,4.7175,4.792,14.649,473.0,2.979,54.5,0
251,STARLINK-6128,STARLINK-32502,3.1362,3.326,9.925,491.1,2.9749,54.5,0
252,STARLINK-5433,STARLINK-5955,4.0011,4.163,12.497,538.3,2.9747,54.5,0
253,STARLINK-33567,STARLINK-36684,2.2124,5.567,7.175,462.7,2.9742,54.5,1
254,STARLINK-2564,2024-203A,4.6438,9.623,14.381,481.9,2.9689,54.4,0
255,STARLINK-2575,STARLINK-37924,4.6155,4.777,14.288,471.3,2.9671,54.4,0
256,STARLINK-1543,2023-072F,4.255,4.358,13.201,484.1,2.9632,54.4,0
257,SHIJIAN-26 (SJ-26),STARLINK-35608,2.3181,2.51,7.454,492.7,2.9602,54.3,1
258,STARLINK-6243,STARLINK-32745,1.5056,1.506,5.049,492.4,2.9602,54.3,1
259,STARLINK-37082,STARLINK-37503,2.3501,2.351,7.532,462.9,2.9536,54.3,1
260,STARLINK-30222,TIANMU-1 18,4.268,4.713,13.192,485.1,2.9526,54.3,0
261,STARLINK-5634,CENTAURI-8,4.8944,5.063,15.031,584.5,2.9505,54.2,0
262,STARLINK-2102,STARLINK-36342,4.7575,5.3,14.623,473.4,2.9497,54.2,0
263,STARLINK-5355,STARLINK-30270,2.4802,2.774,7.872,485.4,2.9371,54.1,1
264,STARLINK-32446,STARLINK-37660,4.7656,4.809,14.568,476.5,2.9338,54.1,0
265,STARLINK-1017,STARLINK-32683,3.9266,4.337,12.099,467.7,2.932,54.1,0
266,STARLINK-3184,STARLINK-34571,0.5225,0.562,2.116,461.8,2.9287,54.0,0
267,STARLINK-3315,STARLINK-37412,3.7698,9.249,11.597,472.4,2.9213,54.0,0
268,STARLINK-3506,STARLINK-3962,3.9797,9.795,12.206,468.6,2.9203,53.9,0
269,STARLINK-30590,STARLINK-34269,2.4894,5.071,7.852,485.4,2.9196,53.9,1
270,STARLINK-5227,STARLINK-35063,4.7886,4.809,14.547,468.0,2.916,53.9,0
271,FORMOSAT 7-1,STARLINK-34322,3.4733,9.361,10.712,580.2,2.9162,53.9,0
272,STARLINK-3927,LIME,3.8921,9.826,11.932,471.5,2.9159,53.9,0
273,STARLINK-34877,STARLINK-36856,4.655,4.755,14.143,465.5,2.9131,53.9,0
274,STARLINK-31828,STARLINK-35055,4.8218,9.555,14.627,473.8,2.9127,53.9,0
275,STARLINK-30862,STARLINK-35990,2.5017,9.485,7.853,485.5,2.9067,53.8,0
276,STARLINK-4714,STARLINK-34947,4.3495,4.521,13.194,481.7,2.9001,53.7,0
277,STARLINK-3125,STARLINK-37530,4.1022,4.263,12.476,479.1,2.8999,53.7,0
278,STARLINK-4173,STARLINK-32413,3.7318,9.281,11.394,472.3,2.8979,53.7,0
279,STARLINK-37020,STARLINK-37368,4.867,5.01,14.68,476.7,2.8972,53.7,0
280,STARLINK-5226,2024-094C,4.6098,4.63,13.934,531.1,2.897,53.7,0
281,STARLINK-31983,STARLINK-32888,2.2866,2.672,7.196,462.5,2.8939,53.7,1
282,STARLINK-32319,STARLINK-37231,4.7314,5.193,14.267,481.4,2.8931,53.7,0
283,STARLINK-1807,STARLINK-5443,4.0302,9.791,12.216,470.3,2.8878,53.6,0
284,2024-173D,STARLINK-37253,4.3413,8.647,13.115,464.9,2.8879,53.6,0
285,STARLINK-30754,STARLINK-35754,2.4461,8.767,7.638,485.8,2.8865,53.6,1
286,TIANMU-1 16,STARLINK-35975,4.7079,5.171,14.163,487.6,2.8858,53.6,0
287,STARLINK-5057,STARLINK-37934,4.7996,5.047,14.425,471.4,2.8852,53.6,0
288,STARLINK-2680,STARLINK-36385,4.2696,4.503,12.876,468.6,2.8808,53.5,0
